	Classifiers_combination	f1_score
116	['DT', 'LGBM_RF', 'XGB_RF']	0.8394442897366874
117	['DT', 'LGBM_RF', 'LR']	0.8523324065492739
118	['DT', 'XGB', 'XGB_RF']	0.832365466511808
119	['DT', 'XGB', 'LR']	0.8441938178780285
120	['DT', 'XGB_RF', 'LR']	0.8382101558572147
121	['RF', 'ETC', 'KNN']	0.831162196679438
122	['RF', 'ETC', 'SVC_LIN']	0.8543255910867856
123	['RF', 'ETC', 'SVC_RBF']	0.8116428145497913
124	['RF', 'ETC', 'CAT']	0.8518925518925519
125	['RF', 'ETC', 'LGBM']	0.8434078193114338
126	['RF', 'ETC', 'LGBM_RF']	0.8569077013521458
127	['RF', 'ETC', 'XGB']	0.8318891741548994
128	['RF', 'ETC', 'XGB_RF']	0.8492063492063492
129	['RF', 'ETC', 'LR']	0.844822102961638
130	['RF', 'KNN', 'SVC_LIN']	0.8334169638698098
131	['RF', 'KNN', 'SVC_RBF']	0.7610919043503314
132	['RF', 'KNN', 'CAT']	0.8309739159412363
133	['RF', 'KNN', 'LGBM']	0.8102573506938077
134	['RF', 'KNN', 'LGBM_RF']	0.8070418826825124
135	['RF', 'KNN', 'XGB']	0.8314113869669425
136	['RF', 'KNN', 'XGB_RF']	0.8287157287157286
137	['RF', 'KNN', 'LR']	0.8391781685258713
138	['RF', 'SVC_LIN', 'SVC_RBF']	0.8463387919749953
139	['RF', 'SVC_LIN', 'CAT']	0.8468654158078522
140	['RF', 'SVC_LIN', 'LGBM']	0.8520665999080319
141	['RF', 'SVC_LIN', 'LGBM_RF']	0.8460511033681765
142	['RF', 'SVC_LIN', 'XGB']	0.8536144578313253
143	['RF', 'SVC_LIN', 'XGB_RF']	0.8420843869304377
144	['RF', 'SVC_LIN', 'LR']	0.8451252542786006
145	['RF', 'SVC_RBF', 'CAT']	0.8341463414634146
146	['RF', 'SVC_RBF', 'LGBM']	0.8263239399311285
147	['RF', 'SVC_RBF', 'LGBM_RF']	0.8388250319284802
148	['RF', 'SVC_RBF', 'XGB']	0.8360284701748117
149	['RF', 'SVC_RBF', 'XGB_RF']	0.8350608895643683
150	['RF', 'SVC_RBF', 'LR']	0.8467526942711289
151	['RF', 'CAT', 'LGBM']	0.8353134055208175
152	['RF', 'CAT', 'LGBM_RF']	0.8608252088316216
153	['RF', 'CAT', 'XGB']	0.8430268918073796
154	['RF', 'CAT', 'XGB_RF']	0.8487621371562198
155	['RF', 'CAT', 'LR']	0.8466985589416489
156	['RF', 'LGBM', 'LGBM_RF']	0.8287591009813232
157	['RF', 'LGBM', 'XGB']	0.8383601604417357
158	['RF', 'LGBM', 'XGB_RF']	0.849244012802119
159	['RF', 'LGBM', 'LR']	0.8505260640841703
160	['RF', 'LGBM_RF', 'XGB']	0.834538425084204
161	['RF', 'LGBM_RF', 'XGB_RF']	0.8455823293172692
162	['RF', 'LGBM_RF', 'LR']	0.8491352906295789
163	['RF', 'XGB', 'XGB_RF']	0.8412404467960023
164	['RF', 'XGB', 'LR']	0.8503633581946834
165	['RF', 'XGB_RF', 'LR']	0.838855421686747
166	['ETC', 'KNN', 'SVC_LIN']	0.834270094732999
167	['ETC', 'KNN', 'SVC_RBF']	0.7951898230967999
168	['ETC', 'KNN', 'CAT']	0.8301308827624617
169	['ETC', 'KNN', 'LGBM']	0.8220576131687243
170	['ETC', 'KNN', 'LGBM_RF']	0.8221990526207393
171	['ETC', 'KNN', 'XGB']	0.8385964912280701
172	['ETC', 'KNN', 'XGB_RF']	0.8301308827624617
173	['ETC', 'KNN', 'LR']	0.8418458523087566
174	['ETC', 'SVC_LIN', 'SVC_RBF']	0.8401515151515152
175	['ETC', 'SVC_LIN', 'CAT']	0.857051282051282
176	['ETC', 'SVC_LIN', 'LGBM']	0.8498677248677248
